,review
0,"I know content of the book is more important but the quality of the book inhances your reading experience. But with this book, quality is moderate and pages feels a little thinner. Its better if you try to purchase it offline."
1,Read more
2,"4.5 Stars. A curveball by Morgan Housel. With a twist in the middle, this book opened certain viewpoints that changed my financial conceptions.Being from a third world country, My views regarding money were very much different.Still,money is a subject which every person in this world sees as an object of wealth, greed & happiness. Hard work & dedication is one of the main principles to it.What you get is how you think of it.Here are some aspects I searched out to be useful and actionable :> It’s never as good or bad as it seems in finance. Going out of your way to find Humility when things seem right and Forgiveness/Compassion when things go wrong is the way to find peace with money.Respecting the power of money mixed with luck and risk will help you focus on the things that you can control.To be honest -> I am still to find it, I take calculated steps to find peace with my money. I am a bit whimsical when it comes to money. Need to control my urges> Saving money is the gap b/w your ego and your income. Wealth is something created by suppressing the urge to buy now; so as to have more stuff in future.‘No matter how much you earn today, it won’t create wealth unless you discard the thought of how much fun you can have with your money today.’Save, just save. You don’t need to a specific reason.> Manage your money in a way that helps you sleep at night. It is different for different people. Some won’t sleep until they see higher returns on their money; for others it may be investing conservatively. To each their own.> For every investor, the single most powerful thing is to increase the time horizon. It pushes results closer to what people deserve. We can be wrong half the time, and yet make a fortune. It’s OK to be have lots of things wrong, you’re human. Chillax.> Using money to gain control over your time & the ability to do that gives you independence. What you want, when you want, how you want, with who you want, for as long as you want to, pays the highest dividend in money matters.> Being nicer & less flashy with money helps infinitely. No one else’s as much impressed of your possessions as you are. What you most Want is Respect & Admiration, which can ONLY be achieved by Kindness & Humility, not horsepower and chrome.> Defining the cost of success & paying it is obvious coz nothing worthwhile comes free. Uncertainty, doubt & regret are common costs of money world. We must view costs as fees, not fines. Getting one thing for another is a way of life in finance.> Worship room for error is a conservative hedge that gives us endurance. It happens by the gap b/w what could happen in future versus what you think that should happen in future. Incentives are huge motivators in life. So, try to get more out of life.> Avoid extreme ends of financial decisions at all costs helps us get over a feeling of regret as we evolve. All our goals & desires change over time.In our childhood & youth, we crave to consume.In our adulthood, we crave to consume and provide.In our retirement zone, we try to consume again.Consumption and Creation are parts of life.Minimize the wastage of money.> Conservative risks taking help us, it pays off in time. Being reasonable, not overly rational, helps the most in our financial decisions. They are mostly taken, not in boardrooms or on spreadsheets, but at the dining table, with family.> Define the game you are playing & make sure your actions are not being influenced by others who’re playing a different game. Keeping the ball in your court is crucial.Respect the mess coz smart & reasonable people can disagree on your decisions, as they vary in their thought process."
3,Read more
4,Good quality and finish
5,Read more
6,Not a book on just money but life itself. intersection of psychology money history science and human behaviour. Definitely a must read
7,Read more
8,"This was a short but enjoyable read. The main point is that we are complicated creatures who have complicated relationships with money. It's ok and expected to not base every decision off of cold Excel calculations. Instead of pretending we will, here is some of the advice he recommends:Don't try and time the market. Dollar cost average. 85% of large cap fund managers did not beat the S&P 500. Stock picking isn't the worst thing ever but know the odds are not in your favor. Doing some of that is OK but you should primarily stick with low cost index funds.Always keep an eye on greed creeping in. Make sure to avoid the psychological treadmill of keeping up with the Joneses.Investing a lot when you're younger is so important. The vast majority of Warren Buffett's wealth is because of how early he started investing, more so than having a higher rate of return. compounding is a wonderful thing.Wealth usually ends up being more about how much money you save rather than how much you earn from your job or the right investments.Saving is the gap between your income and your ego.Having money saved gives you flexibility in many facets of life and immeasurable peace of mind. It allows you to do what you want, when you want it.It's OK to do something that gives you peace of mind even if it's not the best financial decision. For example, finishing student loan payments with a 4% interest-rate even though you could make more by reducing payments and investing some of that in the market.Expect the unexpected when it comes to the stock market, and don't pull out monev durina downturns. Have a 1/3 buffer. For example, if the Indian stock market usually returns 6.9% after inflation, prepare for 4.6%. You may retire in a bear market or the past may not repeat itself.To the point of not trying to time the market: only 9% of tactical mutual funds, those that try to re-allocate stock versus bond percentage based on economic forecasts, ended up doing better than just leaving it in. Enduring downturns is the cost of compounding, and it's well worth the price. Think of market volatility as a fee. You get what you pay for.Remember that people, especially the media, tend to air on the side of pessimism even if things usually get better overtime.All things considered, I would recommend this book!"
9,Read more
